avrid,avpathid,deb_rail
8,SHED09L,False
9,INFINITY,False
10,SHED09,False
399,BURNOUT,False
12,PATH1163,False
13,INFINITY,False
14,PATH1163,False
15,SHED06,False
16,SHED06,False
17,SHED04D,False
18,MSHLDS,False
19,ELKFENCE,False
20,TestSlope1,False
21,SHED07W,False
22,SHED07E,False
23,SHED05,False
24,CURLY,False
65,PATH1163,False
66,INFINITY,False
94,SHED11,False
95,PATH1163,False
96,INFINITY,False
97,SHED07,False
98,SHED10,False
99,JAKES,False
100,PATH1163,False
116,SHED08,False
117,PATH1163,False
118,JAKES,False
119,SHED11,False
131,INFINITY,False
132,SHED11,False
133,SHED10,False
134,SHED10,False
135,JAKES,False
136,SHED11,False
137,SHED107,False
138,INFINITY,False
139,PATH1163,False
140,SHED10,False
141,GRIZZLY,False
142,SHED07,False
143,SHED08,True
144,PATH1163,False
145,PATH1163,False
146,JAKES,False
147,SHED09,False
148,SHED08,False
149,INFINITY,False
150,SECOND,False
151,SHED08,False
152,PATH1163,False
153,SHED10,False
171,PATH1163,False
184,PATH1163,False
185,INFINITY,False
186,INFINITY,False
187,LARRY,False
188,SHED08,False
189,UMBRELLA,False
190,BURNOUT,False
191,PATH1163,False
192,INFINITY,False
193,SHED07E,False
194,PATH1163,False
195,INFINITY,False
201,PATH1163,False
202,JAVA,False
203,JAVA,False
204,JAVA,False
205,SHED07E,False
206,SHED10,False
207,SHED11,False
248,PATH1163,False
257,SHED107,True
258,INFINITY,False
259,SHED07E,True
260,PATH1163,True
261,INFINITY,False
263,NOSHED,True
264,LARRY,False
265,SHED10,False
266,CURLY,False
267,JAKES,False
268,INFINITY,False
269,SHED10,False
270,PATH1163,False
271,INFINITY,False
272,SHED10,False
273,PATH1163,False
274,PATH1163,False
289,CB1159,False
290,CB1164,False
291,AP1183,True
292,UMBRELLA,True
294,CB1164,True
295,JAKES,True
296,CB1160-3,True
297,CB1160,True
298,CB1159,True
299,CB1160,True
303,1155CUTBAN,True
304,PATH1163,False
305,UMBRELLA,True
306,INFINITY,False
307,INFINITY,False
308,PATH1163,False
309,SECOND,False
313,PATH1163,False
314,INFINITY,False
315,ELKMTN,False
316,PATH1163,False
331,INFINITY,False
332,UMBRELLA,False
333,INFINITY,False
334,UMBRELLA,False
335,BURNOUT,False
336,HANGINGNO,False
337,CB1160,False
338,AP1163H,False
339,GRIZZLY,False
381,PATH1163,False
382,MCAMNF,False
383,MCAMSER,False
384,INFINITY,False
385,PATH1163,False
400,SHED11,False
419,BURNOUT,True
404,PATH1163,False
405,PATH1163,False
406,PATH1163,False
407,AP1163H,False
408,AP1163H,False
409,SHED09L,False
410,SHED09L,False
411,SHED09L,False
412,JAKES,True
413,JAKES,True
414,JAKES,True
415,UMBRELLA,True
416,BURNOUT,True
431,JAVA,False
433,SHED07W,False
434,JAVA,False
460,LARRY,False
461,JAVA,False
462,GOATLICK,False
463,GRIZZLY,False
464,GOATLICK,False
465,SECOND,True
466,JAVAGA,True
467,PATH1163,False
468,SHED07W,True
469,PATH1163,False
470,SHED09,False
471,SHED07E,True
487,PATH1163,False
488,UMBRELLA,False
489,PATH1163,False
490,AP1163H,False
491,PATH1163,False
492,JAKES,False
493,AP1163H,False
