,snow_depth,day
6899,27.9,28
6900,27.8,28
6901,28.0,28
6902,28.1,28
6903,28.1,28
6904,28.3,28
6905,28.2,28
6906,28.4,28
6907,28.5,28
6908,28.5,28
6909,28.2,28
6910,28.5,28
6911,28.7,28
6912,28.4,28
6913,28.3,28
6914,28.6,28
6915,28.7,28
6916,28.6,28
6917,28.5,28
6918,28.0,28
6919,23.5,28
6920,25.4,28
6921,25.5,28
6922,25.7,28
6923,24.1,27
6924,24.7,27
6925,24.3,27
6926,24.9,27
6927,23.8,27
6928,24.7,27
6929,24.2,27
6930,24.2,27
6931,24.5,27
6932,24.5,27
6933,24.5,27
6934,24.6,27
6935,24.4,27
6936,24.4,27
6937,24.5,27
6938,24.6,27
6939,24.7,27
6940,24.5,27
6941,24.6,27
6942,24.6,27
6943,24.5,27
6944,24.5,27
6945,24.8,27
6946,24.7,27
6947,24.7,26
6948,24.7,26
6949,24.7,26
6950,24.4,26
6951,24.7,26
6952,24.6,26
6953,24.5,26
6954,24.1,26
6955,24.5,26
6956,24.2,26
6957,24.1,26
6958,24.1,26
6959,23.5,26
6960,24.2,26
6961,24.2,26
6962,24.1,26
6963,24.2,26
6964,24.2,26
6965,24.3,26
6966,24.3,26
6967,24.3,26
6968,24.3,26
6969,24.3,26
6970,24.1,26
6971,24.0,25
6972,24.2,25
6973,24.3,25
6974,24.3,25
6975,24.3,25
6976,24.2,25
6977,24.0,25
6978,23.6,25
6979,23.4,25
6980,23.3,25
6981,23.9,25
6982,23.9,25
6983,24.0,25
6984,24.2,25
6985,23.6,25
6986,23.7,25
6987,24.1,25
6988,24.3,25
6989,24.3,25
6990,24.5,25
6991,24.4,25
6992,24.5,25
6993,24.3,25
6994,24.4,25
6995,24.2,24
6996,24.3,24
6997,24.3,24
6998,24.3,24
6999,24.4,24
7000,24.3,24
7001,24.0,24
7002,24.0,24
7003,24.1,24
7004,24.2,24
7005,24.2,24
7006,24.4,24
7007,24.3,24
7008,24.3,24
7009,24.1,24
