"avrid","avpathid","avobsdate","avobstime","avobserverid","avtype","avtriggertyp","avtrigger","avrelativesize","avdestructivesize","avinterface","sz_vert","sz_horiz","sz_avgslope","sz_elev_m","sz_aspect","term_elev_m","av_vert_m","crown_width_m","ch_max_cm","ch_min_cm","ch_diff_cm","term_longpath","term_shortPath","term_detail","term_moist","deb_rail","deb_rail_w","deb_rail_d","deb_hwy","deb_hwy_w","deb_hwy_d","avcomment","edcr_user","edcr_time","edcr_ip","eded_user","eded_time","eded_ip"
"1","SHED10","2012-03-26","12:45:00","stein_01","WS","5","NL","R1","D1.5","O","B","R","0","0",,"0","0","0","0","0","0","TK",,,,"0","0.0","0.0","0","0.0","0.0","Wet slab released on SE aspect @ 5400 feet (1636 m) elevation. Debris ran 2/3rds path to at least 4,600 feet (1394 m) elevation.  ","ed","2016-03-17 11:50:56","10.173.132.2",NULL,"0000-00-00 00:00:00",NULL
"2","PATH1163","2012-03-16","08:30:00","stein_01","U","5","NU","U","D2","U","U","U","0","0",,"0","0","0","0","0","0","TK",,,,"0","0.0","0.0","0","0.0","0.0","Wet debris ran 2/3 path in main path to 4700 feet (1424 m) elevation.  Upper SZ obscured.  ","ed","2016-03-17 11:50:56","10.173.132.2",NULL,"0000-00-00 00:00:00",NULL
"3","CURLY","2012-03-16","08:34:00","stein_01","U","5","NU","U","D1","U","U","U","0","0",,"0","0","0","0","0","0","TR",,,,"0","0.0","0.0","0","0.0","0.0","Terminus at canyon floor elevation.

Debris wet and relatively small amount.","ed","2016-03-17 11:50:56","10.173.132.2",NULL,"0000-00-00 00:00:00",NULL
"4","SHED10","2012-03-10","14:50:00","stein_01","WL","5",,"R2","D1","I","M","R","0","0",,"0","0","0","0","0","0","TK",,,,"0","0.0","0.0","0","0.0","0.0","D1.5","ed","2016-03-17 11:50:56","10.173.132.2",NULL,"0000-00-00 00:00:00",NULL
"5","INFINITY","2012-03-10","14:54:00","stein_01","L","5","N","R2","D1","I","T","C","0","0",,"0","0","0","0","0","0","TK",,,,"0","0.0","0.0","0","0.0","0.0","D1.5- 1/2 Path.","ed","2016-03-17 11:50:56","10.173.132.2",NULL,"0000-00-00 00:00:00",NULL
"6","SECOND","2012-03-05","11:45:00","stein_01","SS","5","N","R2","D1","I","T","C","0","0",,"0","0","0","0","0","0",,"BP",,,"0","0.0","0.0","0","0.0","0.0","SS-NC-R2D 1.5-I  on east aspect of Second Slide's looker's right ridge.","ed","2016-03-17 11:50:56","10.173.132.2",NULL,"0000-00-00 00:00:00",NULL
"7","BURNOUT","2012-03-03","01:30:00","stein_01","SS","5","N","R1","D1","I","M","L","0","0",,"0","0","0","0","0","0",,"BP",,,"0","0.0","0.0","0","0.0","0.0","Debris did not make the rail grade.","ed","2016-03-17 11:50:56","10.173.132.2",NULL,"0000-00-00 00:00:00",NULL
"8","SHED09L","2012-02-28","11:16:00","stein_01","SS","5","NS","R2","D2","I","T","L","0","2000",,"1424","576","48","45","30","38","MR","-","U","M","0","0.0","0.0","0","0.0","0.0","Likely triggered by avalanche in Shed 9 upper SZ.
Crown width - 160 feet
Crown depth - 12-18 inches
Debris - 2/3 path
Crown line - 6600'
Terminus of debris - 4700'
Aspect - SE
","ed","2016-03-17 11:50:56","10.173.132.2","Ted","2020-05-12 20:41:17","64.91.61.64"
"9","INFINITY","2012-02-28","11:09:00","dunda_01","SS","5","N","R2","D1","I","T","R","0","0",,"0","0","0","0","0","0","TK",,,,"0","0.0","0.0","0","0.0","0.0","Fracture line - 6400'","ed","2016-03-17 11:50:56","10.173.132.2",NULL,"0000-00-00 00:00:00",NULL
"10","SHED09","2012-02-28","11:16:00","stein_01","HS","5","N","R3","D2","O","T","C","34","2045",,"1712","333","424","100","30","65","TK","-","U","D","0","0.0","0.0","0","0.0","0.0","<b>Upper Shed 9</b>

Fracture line - 6750'
Debris toe - 5650'
Aspect - South through East
Crown depth - 12""- 36""
Crown width - 1400' 
Starting zone horizontal - left and center 
Likely wildlife trigger","ed","2016-03-17 11:50:56","10.173.132.2","Ted","2020-05-12 21:28:02","64.91.61.64"
"399","BURNOUT","2019-02-14","12:27:00","clark_01","SS","1","AX","R1","D1","I","T","C","38","1493",,"1485","8","4","30","20","25","SZ","-","-","D","0","0.0","0.0","0","0.0","0.0","The one slab avalanche triggered out of six Daisy Bell shots during the Feb. 14th mitigation mission. Very small slab with debris termination well above the rail grade.","Adam","2020-05-14 11:10:53","184.166.43.50","Adam","2020-05-22 14:02:02","184.166.43.50"
"12","PATH1163","2012-02-22","12:40:00","stein_01","SS","5","N","R2","D2","O","T","L","0","0",,"0","0","0","0","0","0","TR",,,,"0","0.0","0.0","0","0.0","0.0","Crown on Looker's Left Top of Main Path- Below Rocks. Crown width= 100 m Crown depth 0.5 m to 1.5m. Debris ran to 4680 feet elevation.","ed","2016-03-17 11:50:56","10.173.132.2",NULL,"0000-00-00 00:00:00",NULL
"13","INFINITY","2012-02-22","12:52:00","stein_01","SS","5","NC","R2","D2","O","T","C","0","0","N","0","0","0","0","0","0","TR","-","U","U","0","0.0","0.0","0","0.0","0.0","Crown blown back in.  Avalanche appears to be cornice related.  Crown 50m wide.  Depth unknown.  Debris terminated above the grade at 4680 feet elevation.","ed","2016-03-17 11:50:56","10.173.132.2","Ted","2020-06-29 11:23:56","64.91.61.64"
"14","PATH1163","2012-02-22","08:15:00","stein_01","U","5","N","U","D2","U","U","U","0","0",,"0","0","0","0","0","0","U",,,,"0","0.0","0.0","0","0.0","0.0","Fresh avalanche debris located 2/3 path at 4,680 feet (1418 m) elevation.","ed","2016-03-17 11:50:56","10.173.132.2",NULL,"0000-00-00 00:00:00",NULL
"15","SHED06","2012-02-22","08:35:00","stein_01","SS","5","N","R4","D2","O","T","C","0","0",,"0","0","0","0","0","0",,"BP",,,"0","0.0","0.0","0","0.0","0.0","Looker's Right Tree Pocket located at approximately 4800 feet (1455m).","ed","2016-03-17 11:50:56","10.173.132.2","ed","2019-01-02 00:00:00","server"
"16","SHED06","2012-02-22","08:40:00","stein_01","SS","5","N","R4","D2","O","T","C","0","0",,"0","0","0","0","0","0",,"BP",,,"0","0.0","0.0","0","0.0","0.0","Tree Pocket located on Looker's Left @ approximately 5000 feet (1515m) elevation.","ed","2016-03-17 11:50:56","10.173.132.2","ed","2019-01-02 00:00:00","server"
"17","SHED04D","2012-02-22","13:00:00","stein_01","SS","5",,"R3","D1","O","M","C","0","0",,"0","0","0","0","0","0",,"BP",,,"0","0.0","0.0","0","0.0","0.0","Avalanche released on steep rock face above Shed 4/4D... Debris deposited on shed roof.","ed","2016-03-17 11:50:56","10.173.132.2",NULL,"0000-00-00 00:00:00",NULL
"18","MSHLDS","2012-02-22","17:00:00","stein_01","HS","5","NC","R3","U","O","T","R","0","0",,"0","0","0","0","0","0","U",,,,"0","0.0","0.0","0","0.0","0.0","Avalanche Released on SE aspect of ""Peak 6996"" or ""False Shields.""
Crown width was approximately 120 meters (400 feet).","ed","2016-03-17 11:50:56","10.173.132.2",NULL,"0000-00-00 00:00:00",NULL
"19","ELKFENCE","2012-02-22","13:30:00","stein_01","SS","5","N","R3","D2","O","M","C","0","0","N","0","0","0","0","0","0","U","BP","U","U","0","0.0","0.0","0","0.0","0.0","This was a low elevation slab avalanche that did not reach the grade- D1.5.  Occurred on ""Windy Point"" or ""Elk Fence.""  Crown width 40m and depth 30 cm.  ","ed","2016-03-17 11:50:56","10.173.132.2","Ted","2020-06-29 11:23:13","64.91.61.64"
"20","TestSlope1","2012-02-21","11:00:00","stein_01","HS","5","N","R4","D2","O","M","C","0","0",,"0","0","0","0","0","0",,"BP",,,"0","0.0","0.0","0","0.0","0.0","HS-N-R4D2-O.  Crown Width= 120m Crown depth 0.5m to 1.25m ","ed","2016-03-17 11:50:56","10.173.132.2",NULL,"0000-00-00 00:00:00",NULL
"21","SHED07W","2012-02-21","10:00:00","stein_01","SS","5","N","R2","D2","I","M","R","0","0",,"0","0","0","0","0","0","TK",,,,"0","0.0","0.0","0","0.0","0.0","Isolated SS located on S aspect of path- Lookers R of ridge 75m at rock 6400 foot (1940m) elevation.  Crown depth avg. 30 cm.","ed","2016-03-17 11:50:56","10.173.132.2",NULL,"0000-00-00 00:00:00",NULL
"22","SHED07E","2012-02-21","10:00:00","stein_01","SS","5","N","R2","D2","O","T","C","0","0",,"0","0","0","0","0","0","TK",,,,"0","0.0","0.0","0","0.0","0.0","Ran in main Shed 7 path to 150m above Shed 7.","ed","2016-03-17 11:50:56","10.173.132.2",NULL,"0000-00-00 00:00:00",NULL
"23","SHED05","2012-02-21","01:00:00","stein_01","SS","5","N","R1","D2","I","M","R","0","0",,"0","0","0","0","0","0","TK",,,,"0","0.0","0.0","0","0.0","0.0","Triggered in isolated rock outcrop- Looker's R of Shed 5 path @ 5700 feet (1727m) elevation.  Avg. crown depth= 30 cm.  Crown width= 50m","ed","2016-03-17 11:50:56","10.173.132.2","ed","2019-01-02 00:00:00","server"
"24","CURLY","2012-02-21","12:45:00","stein_01","U","5","N","U","D1","U","U","U","0","0",,"0","0","0","0","0","0","TK",,,,"0","0.0","0.0","0","0.0","0.0","D1 debris ran 2/3 path to runout.","ed","2016-03-17 11:50:56","10.173.132.2",NULL,"0000-00-00 00:00:00",NULL
"25","JAVAGA","2012-01-20","09:50:00","stein_01","SS","5","N","R2","D1","I","T",,"0","0",,"0","0","0","0","0","0",,"BP",,,"0","0.0","0.0","0","0.0","0.0","Widespread low elevation slab cycle continues.","ed","2016-03-17 11:50:56","10.173.132.2",NULL,"0000-00-00 00:00:00",NULL
"26","SHED06","2012-01-19","11:30:00","dunda_01","SS","5","N","R2","D1","S","T",,"0","0",,"0","0","0","0","0","0",,"BP",,,"0","0.0","0.0","0","0.0","0.0","Widespread low elevation small magnitude slab cycle.  Triggered by warm T and poor quality basal snowpack.","ed","2016-03-17 11:50:56","10.173.132.2",NULL,"0000-00-00 00:00:00",NULL
"27","JAVA","2011-12-29","13:00:00","dunda_01","SS","5","NU","R3","D2","U","T","C","0","0",,"0","0","0","0","0","0","U",,,,"0","0.0","0.0","0","0.0","0.0","Located in Center Path.",,"2016-03-17 11:50:56","ed",NULL,"0000-00-00 00:00:00",NULL
"28","JAVA","2011-12-29","13:00:00","dunda_01","SS","5","NU","R2","D2","U","T","C","0","0",,"0","0","0","0","0","0","U",,,,"0","0.0","0.0","0","0.0","0.0","Located in furthest Looker's R path.",,"2016-03-17 11:50:56","ed",NULL,"0000-00-00 00:00:00",NULL
"29","SHED08","2011-12-29","13:00:00","dunda_01","SS","5","N","R1","D1","U","M","L","0","0",,"0","0","0","0","0","0","U",,,,"0","0.0","0.0","0","0.0","0.0","Crown just below cornice.
Looker's Left",,"2016-03-17 11:50:56","ed",NULL,"0000-00-00 00:00:00",NULL
"30","PATH1163","2011-12-29","13:00:00","dunda_01","SS","5","N","R1","D2","U","T","C","0","0",,"0","0","0","0","0","0","TK",,,,"0","0.0","0.0","0","0.0","0.0","Slab in main gully. Crown 100' vertical from ridge.
Crown width= 50'.  Numerous WL releases.
Debris ran to nick point.",,"2016-03-17 11:50:56","ed",NULL,"0000-00-00 00:00:00",NULL
"31","SHED07W","2011-12-29","13:00:00","dunda_01","SS","5","NC","R1","D2","U","T","L","0","0",,"0","0","0","0","0","0","TK",,,,"0","0.0","0.0","0","0.0","0.0","Crown at rock-band just below cornice
NE aspect",,"2016-03-17 11:50:56","ed",NULL,"0000-00-00 00:00:00",NULL
