Date,Time,Score,Level
12/14/2006,,,1
12/15/2006,,,1
12/21/2006,,,1
12/27/2006,,,1
1/3/2007,,,2
1/4/2007,,,1
1/5/2007,,,2
1/7/2007,,,3
1/8/2007,,,2
1/13/2007,,,1
1/15/2007,,,1
1/17/2007,,,1
1/19/2007,,,2
1/23/2007,,,1
1/29/2007,,,1
2/5/2007,,,2
2/6/2007,,,2
2/7/2007,,,1
2/8/2007,,,1
2/12/2007,,,1
2/14/2007,,,1
2/15/2007,,,2
2/16/2007,,,1
2/20/2007,,,2
2/21/2007,,,2
2/22/2007,,,1
2/23/2007,,,1
2/26/2007,,,1
3/6/2007,,,2
3/7/2007,,,2
3/8/2007,,,1
3/10/2007,,,2
3/11/2007,,,3
3/12/2007,,,3
3/12/2007,,,1
3/14/2007,,,1
3/19/2007,,,1
3/21/2007,,,1
12/19/2007,,,1
12/22/2007,,,2
12/27/2007,,,1
12/30/2007,,,2
12/31/2007,,,2
1/2/2008,,,3
1/3/2008,,,2
1/5/2008,,,2
1/15/2008,,,2
1/19/2008,,,3
1/20/2008,,,2
1/22/2008,,,1
1/26/2008,,,2
1/28/2008,,,2
1/30/2008,,,2
1/30/2008,,,2
2/1/2008,,,3
2/3/2008,,,2
2/7/2008,,,3
2/8/2008,,,3
2/9/2008,,,3
2/10/2008,,,3
2/11/2008,,,2
2/18/2008,,,2
2/28/2008,,,2
2/29/2008,,,2
3/6/2008,,,2
3/13/2008,,,2
3/21/2008,,,2
3/28/2008,,,2
3/29/2008,,,2
4/10/2008,,,2
12/18/2008,,29,1
12/22/2008,,27,1
12/24/2008,,29,1
12/27/2008,,40,1
12/28/2008,,42,1
12/28/2008,,70,2
12/28/2008,,70,2
12/29/2008,,54,2
12/31/2008,,61,2
1/1/2009,,57,2
1/2/2009,,81,3
1/3/2009,,58,2
1/4/2009,,67,2
1/5/2009,,65,2
1/6/2009,,67,2
1/6/2009,,70,2
1/6/2009,,79,3
1/7/2009,,94,3
1/7/2009,,84,3
1/7/2009,,90,3
1/8/2009,,98,3
1/8/2009,,108,4
1/9/2009,,76,3
1/9/2009,,72,2
1/13/2009,,50,2
